wavelength_nm,hbo2_cm1_M1,hbr_cm1_M1,source,source_version
580,50104,37020,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
582,43304,35676.4,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
584,34639.6,34332.8,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
586,26600.4,32851.6,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
588,19763.2,31075.2,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
590,14400.8,28324.4,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
592,10468.4,25470,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
594,7678.8,22574.8,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
596,5683.6,19800,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
598,4504.4,17058.4,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
600,3200,14677.2,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
602,2664,13622.4,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
604,2128,12567.6,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
606,1789.2,11513.2,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
608,1647.6,10477.6,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
610,1506,9443.6,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
612,1364.4,8591.2,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
614,1222.8,7762,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
616,1110,7344.8,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
618,1026,6927.2,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
620,942,6509.6,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
622,858,6193.2,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
624,774,5906.8,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
626,707.6,5620,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
628,658.8,5366.8,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
630,610,5148.8,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
632,561.2,4930.8,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
634,512.4,4730.8,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
636,478.8,4602.4,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
638,460.4,4473.6,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
640,442,4345.2,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
642,423.6,4216.8,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
644,405.2,4088.4,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
646,390.4,3965.08,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
648,379.2,3857.6,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
650,368,3750.12,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
652,356.8,3642.64,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
654,345.6,3535.16,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
656,335.2,3427.68,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
658,325.6,3320.2,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
